# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,-3.243500000000000227e+02,9.941666666666665719e+01,1.418127585202455521e-02
1.000000000000000000e+04,-3.085799999999999841e+02,9.883333333333332860e+01,1.470477040857076645e-02
1.500000000000000000e+04,-3.239800000000000182e+02,9.825000000000000000e+01,2.156087756156921387e-02
2.000000000000000000e+04,-4.465799999999999841e+02,9.766666666666667140e+01,1.615134999155998230e-02
2.500000000000000000e+04,-5.000000000000000000e+02,9.708333333333332860e+01,1.335373520851135254e-02
3.000000000000000000e+04,-2.569499999999999886e+02,9.650000000000000000e+01,3.599326312541961670e-01
3.500000000000000000e+04,-2.466699999999999875e+02,9.591666666666667140e+01,1.771992072463035583e-02
4.000000000000000000e+04,-1.280000000000000000e+02,9.533333333333334281e+01,1.381536107510328293e-02
4.500000000000000000e+04,-2.198799999999999955e+02,9.475000000000000000e+01,2.205271460115909576e-02
5.000000000000000000e+04,-1.006500000000000057e+02,9.416666666666667140e+01,2.221459895372390747e-02
5.500000000000000000e+04,-1.226200000000000045e+02,9.358333333333332860e+01,1.246418058872222900e-02
6.000000000000000000e+04,-2.394199999999999875e+02,9.300000000000000000e+01,3.536023199558258057e-01
6.500000000000000000e+04,-4.401299999999999955e+02,9.241666666666667140e+01,5.618823170661926270e-01
7.000000000000000000e+04,-1.515000000000000000e+02,9.183333333333332860e+01,4.436611011624336243e-02
7.500000000000000000e+04,-5.000000000000000000e+02,9.125000000000000000e+01,4.208804666996002197e-02
8.000000000000000000e+04,-2.583000000000000114e+02,9.066666666666667140e+01,3.033496253192424774e-02
8.500000000000000000e+04,-3.309499999999999886e+02,9.008333333333334281e+01,2.678651362657546997e-02
9.000000000000000000e+04,-4.965699999999999932e+02,8.950000000000000000e+01,2.961637638509273529e-02
9.500000000000000000e+04,-1.448799999999999955e+02,8.891666666666667140e+01,1.932059042155742645e-02
1.000000000000000000e+05,-5.000000000000000000e+02,8.833333333333332860e+01,6.552978157997131348e-01
1.050000000000000000e+05,-2.935199999999999818e+02,8.775000000000000000e+01,3.435439243912696838e-02
1.100000000000000000e+05,-4.300000000000000000e+02,8.716666666666667140e+01,4.335793852806091309e-02
1.150000000000000000e+05,-5.000000000000000000e+02,8.658333333333332860e+01,5.002378821372985840e-01
1.200000000000000000e+05,-1.592299999999999898e+02,8.600000000000000000e+01,1.745344139635562897e-02
1.250000000000000000e+05,-5.000000000000000000e+02,8.541666666666665719e+01,2.138109505176544189e-02
1.300000000000000000e+05,-5.000000000000000000e+02,8.483333333333334281e+01,2.078934386372566223e-02
