# Timestep,Rewards
8.000000000000000000e+03,-1.244559014764875428e+03
1.600000000000000000e+04,-1.207950778384799833e+03
2.400000000000000000e+04,-1.092622850905646601e+03
3.200000000000000000e+04,-1.100500566403007724e+03
4.000000000000000000e+04,-1.135873693851580583e+03
4.800000000000000000e+04,-1.220936865600144756e+03
5.600000000000000000e+04,-1.188984356603680453e+03
6.400000000000000000e+04,-1.032554890410237476e+03
7.200000000000000000e+04,-8.978883631364036546e+02
8.000000000000000000e+04,-6.882564919115949351e+02
8.800000000000000000e+04,-4.833406685007578290e+02
9.600000000000000000e+04,-3.100492769201144370e+02
1.040000000000000000e+05,-1.896695174568778270e+02
1.120000000000000000e+05,-2.182965174878544303e+02
1.200000000000000000e+05,-2.063143538434911761e+02
1.280000000000000000e+05,-3.686983991672392449e+02
1.360000000000000000e+05,-3.603633603433974599e+02
1.440000000000000000e+05,-2.745619839218923630e+02
1.520000000000000000e+05,-2.688579823288411035e+02
1.600000000000000000e+05,-2.349077610695139526e+02
1.680000000000000000e+05,-2.104806603182504716e+02
1.760000000000000000e+05,-2.065546694569858630e+02
1.840000000000000000e+05,-2.374369874877391453e+02
1.920000000000000000e+05,-2.137040220161125035e+02
2.000000000000000000e+05,-2.346654197032474940e+02
2.080000000000000000e+05,-2.081442403171077729e+02
2.160000000000000000e+05,-1.865010344256723442e+02
2.240000000000000000e+05,-1.833100281792882242e+02
2.320000000000000000e+05,-1.566828404579162850e+02
2.400000000000000000e+05,-1.590483059803140975e+02
2.480000000000000000e+05,-1.511333325348790595e+02
2.560000000000000000e+05,-1.623315494462239599e+02
2.640000000000000000e+05,-2.890493641995991538e+02
2.720000000000000000e+05,-2.033337082816005079e+02
2.800000000000000000e+05,-3.433485686314270424e+02
2.880000000000000000e+05,-2.035342803493554698e+02
2.960000000000000000e+05,-2.062322108921516985e+02
3.040000000000000000e+05,-2.483645630966477711e+02
3.120000000000000000e+05,-1.975882866750340270e+02
3.200000000000000000e+05,-1.346411869159092305e+02
3.280000000000000000e+05,-1.663850134688113371e+02
3.360000000000000000e+05,-1.946824893731281918e+02
3.440000000000000000e+05,-2.138287490980830512e+02
3.520000000000000000e+05,-1.942554196216061655e+02
3.600000000000000000e+05,-1.805982123780884194e+02
3.680000000000000000e+05,-1.665367923718364125e+02
3.760000000000000000e+05,-1.547298532172396506e+02
3.840000000000000000e+05,-1.652993325472390609e+02
3.920000000000000000e+05,-1.594358130535802047e+02
4.000000000000000000e+05,-2.645229672999181503e+02
