# Timestep,Rewards
8.000000000000000000e+03,-1.256343588878905621e+03
1.600000000000000000e+04,-1.148896190597429722e+03
2.400000000000000000e+04,-1.003436588414711878e+03
3.200000000000000000e+04,-1.000629795767415203e+03
4.000000000000000000e+04,-8.722535547759996462e+02
4.800000000000000000e+04,-9.374817853594911412e+02
5.600000000000000000e+04,-8.388921129913787809e+02
6.400000000000000000e+04,-3.362921388775005198e+02
7.200000000000000000e+04,-2.307841468831770158e+02
8.000000000000000000e+04,-2.110105684040601091e+02
8.800000000000000000e+04,-1.876895296118357805e+02
9.600000000000000000e+04,-2.178697528512791166e+02
1.040000000000000000e+05,-1.973963022266503913e+02
1.120000000000000000e+05,-1.888481032458937250e+02
1.200000000000000000e+05,-2.058721209786709778e+02
1.280000000000000000e+05,-1.856223637565953766e+02
1.360000000000000000e+05,-1.962168690197286480e+02
1.440000000000000000e+05,-1.625953699472656524e+02
1.520000000000000000e+05,-2.343793906376393466e+02
1.600000000000000000e+05,-1.562122801239925991e+02
1.680000000000000000e+05,-1.613352472369408019e+02
1.760000000000000000e+05,-1.644671945603614631e+02
1.840000000000000000e+05,-1.500469465004450740e+02
1.920000000000000000e+05,-1.896971964064575502e+02
2.000000000000000000e+05,-1.707922041766378527e+02
2.080000000000000000e+05,-1.722499766683250471e+02
2.160000000000000000e+05,-1.676798407651600655e+02
2.240000000000000000e+05,-1.492177970909224030e+02
2.320000000000000000e+05,-1.576404824113427026e+02
2.400000000000000000e+05,-2.040450377038007730e+02
2.480000000000000000e+05,-1.609648383534698155e+02
2.560000000000000000e+05,-1.811727394277040446e+02
2.640000000000000000e+05,-1.432005067561416922e+02
2.720000000000000000e+05,-3.291134439501362294e+02
2.800000000000000000e+05,-1.521834846446737401e+02
2.880000000000000000e+05,-1.530738726725282390e+02
2.960000000000000000e+05,-1.711345925401245438e+02
3.040000000000000000e+05,-1.629576553834196204e+02
3.120000000000000000e+05,-1.580919839546347134e+02
3.200000000000000000e+05,-1.898189457224414696e+02
3.280000000000000000e+05,-1.628729840057322633e+02
3.360000000000000000e+05,-2.302569277442075588e+02
3.440000000000000000e+05,-1.828649887170625163e+02
3.520000000000000000e+05,-1.563897035515369964e+02
3.600000000000000000e+05,-1.970503925753657199e+02
3.680000000000000000e+05,-1.957078345083673128e+02
3.760000000000000000e+05,-1.890242037046411951e+02
3.840000000000000000e+05,-2.057148111579033412e+02
3.920000000000000000e+05,-1.800948788933499998e+02
4.000000000000000000e+05,-2.132784515625874349e+02
