# Timestep,Rewards
8.000000000000000000e+03,-5.321752627835474669e+01
1.600000000000000000e+04,-2.813863743452200694e+01
2.400000000000000000e+04,-2.567107260025597881e+01
3.200000000000000000e+04,-3.540791510674670661e+01
4.000000000000000000e+04,-3.004210879036308057e+01
4.800000000000000000e+04,-2.375289371776725744e+01
5.600000000000000000e+04,-1.039433981758193326e+01
6.400000000000000000e+04,4.551241397282299772e+01
7.200000000000000000e+04,8.496456255851371964e+01
8.000000000000000000e+04,9.135506518471406423e+01
8.800000000000000000e+04,9.201442316649472275e+01
9.600000000000000000e+04,9.125201389323009948e+01
1.040000000000000000e+05,9.251232880400745273e+01
1.120000000000000000e+05,9.383166925636135147e+01
1.200000000000000000e+05,9.255705221201597510e+01
1.280000000000000000e+05,9.257243910688646338e+01
1.360000000000000000e+05,9.255838632107456476e+01
1.440000000000000000e+05,9.219388947034431681e+01
1.520000000000000000e+05,9.141233543967676667e+01
1.600000000000000000e+05,9.204514778532119124e+01
1.680000000000000000e+05,9.144810917175806253e+01
1.760000000000000000e+05,9.041909191048175387e+01
1.840000000000000000e+05,8.997153531851357400e+01
1.920000000000000000e+05,8.825289329917075065e+01
2.000000000000000000e+05,8.864857292490593466e+01
2.080000000000000000e+05,8.868032487224009230e+01
2.160000000000000000e+05,8.794282388298290698e+01
2.240000000000000000e+05,9.012260543534219437e+01
2.320000000000000000e+05,8.854534599829375452e+01
2.400000000000000000e+05,8.655344914195366357e+01
2.480000000000000000e+05,8.751070310111610695e+01
2.560000000000000000e+05,8.717030964438104945e+01
2.640000000000000000e+05,8.844113635507405036e+01
2.720000000000000000e+05,8.781773561040493803e+01
2.800000000000000000e+05,8.743750299020334182e+01
2.880000000000000000e+05,8.850791442286619315e+01
2.960000000000000000e+05,8.843403017311952397e+01
3.040000000000000000e+05,8.880394010556503304e+01
3.120000000000000000e+05,8.958500602882558894e+01
3.200000000000000000e+05,8.990429054001519660e+01
3.280000000000000000e+05,8.986881191296683369e+01
3.360000000000000000e+05,9.033256795032092157e+01
3.440000000000000000e+05,8.978511684613529553e+01
3.520000000000000000e+05,9.004202469954921639e+01
3.600000000000000000e+05,9.047245750000020337e+01
3.680000000000000000e+05,8.836391501092650458e+01
3.760000000000000000e+05,9.041019436783670926e+01
3.840000000000000000e+05,9.018523070594163471e+01
3.920000000000000000e+05,9.137780390975524369e+01
4.000000000000000000e+05,9.161477255942571674e+01
