# Timestep,Rewards
8.000000000000000000e+03,-5.766125906616399988e+01
1.600000000000000000e+04,-3.723064970356379888e+01
2.400000000000000000e+04,-2.260280459235822192e+01
3.200000000000000000e+04,-2.766767874658646775e+01
4.000000000000000000e+04,-3.101630578036742492e+01
4.800000000000000000e+04,-3.494730371764862298e+01
5.600000000000000000e+04,-3.671982652068919606e+01
6.400000000000000000e+04,-3.671850840221699031e+01
7.200000000000000000e+04,-2.977253740779648084e+01
8.000000000000000000e+04,-2.693143734927640764e+01
8.800000000000000000e+04,2.621778924900651475e+01
9.600000000000000000e+04,8.934922712235339759e+01
1.040000000000000000e+05,9.095322998429132610e+01
1.120000000000000000e+05,9.225202342185504278e+01
1.200000000000000000e+05,9.301697871587651889e+01
1.280000000000000000e+05,9.083438981671126555e+01
1.360000000000000000e+05,8.997584078326325141e+01
1.440000000000000000e+05,8.992181823700782672e+01
1.520000000000000000e+05,8.955193465721671942e+01
1.600000000000000000e+05,9.023901569178715931e+01
1.680000000000000000e+05,9.099412805294936391e+01
1.760000000000000000e+05,9.070287079411342290e+01
1.840000000000000000e+05,9.115036525910144860e+01
1.920000000000000000e+05,9.099320142028733471e+01
2.000000000000000000e+05,9.050275964293874154e+01
2.080000000000000000e+05,9.065494932891014912e+01
2.160000000000000000e+05,9.117823724834852328e+01
2.240000000000000000e+05,9.060625998123082070e+01
2.320000000000000000e+05,9.103523371265819719e+01
2.400000000000000000e+05,9.147317089617916963e+01
2.480000000000000000e+05,9.034965353522837006e+01
2.560000000000000000e+05,9.016301046068001313e+01
2.640000000000000000e+05,9.100080076583955702e+01
2.720000000000000000e+05,9.093340133619295784e+01
2.800000000000000000e+05,9.103538582488259578e+01
2.880000000000000000e+05,9.083612595716783744e+01
2.960000000000000000e+05,9.075154652301176839e+01
3.040000000000000000e+05,9.101566434520992743e+01
3.120000000000000000e+05,9.070297154630647185e+01
3.200000000000000000e+05,9.060063753788428187e+01
3.280000000000000000e+05,9.089293262601196943e+01
3.360000000000000000e+05,9.094000086544735950e+01
3.440000000000000000e+05,9.119910863373233667e+01
3.520000000000000000e+05,9.096412244698299787e+01
3.600000000000000000e+05,9.049051832407928941e+01
3.680000000000000000e+05,9.035936784191005700e+01
3.760000000000000000e+05,8.966253111128521880e+01
3.840000000000000000e+05,8.981793866551221583e+01
3.920000000000000000e+05,8.976660833055478861e+01
4.000000000000000000e+05,8.974291793800200878e+01
