# Timestep,Rewards
8.000000000000000000e+03,-5.000756762488601481e+01
1.600000000000000000e+04,-3.847683052693080441e+01
2.400000000000000000e+04,-3.176277790554411595e+01
3.200000000000000000e+04,-3.045749251273253222e+01
4.000000000000000000e+04,-2.893858345458778913e+01
4.800000000000000000e+04,-2.571479059141628909e+01
5.600000000000000000e+04,-5.041395068080925768e+01
6.400000000000000000e+04,-3.317889135766485964e+01
7.200000000000000000e+04,-3.439811288983090520e+01
8.000000000000000000e+04,-4.000340181433127640e+01
8.800000000000000000e+04,-2.982072663146691838e+01
9.600000000000000000e+04,-3.331779463628976146e+01
1.040000000000000000e+05,-3.245999114370352601e+01
1.120000000000000000e+05,-2.981026626683534531e+01
1.200000000000000000e+05,-3.090057771001873377e+01
1.280000000000000000e+05,-2.842676579505490153e+01
1.360000000000000000e+05,-3.049046329118029064e+01
1.440000000000000000e+05,-1.172897302984224455e+00
1.520000000000000000e+05,2.965833913386079246e+01
1.600000000000000000e+05,7.722187960163370235e+01
1.680000000000000000e+05,9.034365873018309401e+01
1.760000000000000000e+05,8.987873814941109174e+01
1.840000000000000000e+05,9.157927566020902077e+01
1.920000000000000000e+05,8.993496452244043837e+01
2.000000000000000000e+05,9.166273291180550586e+01
2.080000000000000000e+05,9.101452990292823131e+01
2.160000000000000000e+05,9.072828649390437761e+01
2.240000000000000000e+05,9.057035254574118710e+01
2.320000000000000000e+05,9.043217763112618002e+01
2.400000000000000000e+05,8.979834993790234421e+01
2.480000000000000000e+05,8.989104209799883449e+01
2.560000000000000000e+05,8.962479612551165076e+01
2.640000000000000000e+05,8.992768709837518770e+01
2.720000000000000000e+05,8.930251063553664892e+01
2.800000000000000000e+05,8.839306482962099665e+01
2.880000000000000000e+05,9.000551359138333396e+01
2.960000000000000000e+05,8.953252866600952586e+01
3.040000000000000000e+05,8.885453014047602949e+01
3.120000000000000000e+05,8.937133589421850388e+01
3.200000000000000000e+05,8.880100971120306497e+01
3.280000000000000000e+05,8.737558190824515236e+01
3.360000000000000000e+05,8.790208000679842826e+01
3.440000000000000000e+05,8.873251701062717700e+01
3.520000000000000000e+05,8.831381484144921501e+01
3.600000000000000000e+05,8.796476199475051772e+01
3.680000000000000000e+05,8.818337177066280219e+01
3.760000000000000000e+05,8.730086552285530388e+01
3.840000000000000000e+05,8.792447228735335329e+01
3.920000000000000000e+05,8.696585350059453390e+01
4.000000000000000000e+05,8.670825331178095041e+01
