# Exploration %,Episodes,Rewards,Timestep,Training Score
9.934666666666667822e+01,1.000000000000000000e+02,7.570000000000000284e+01,1.000000000000000000e+03,3.381396472454071045e+00
9.869333333333332803e+01,2.000000000000000000e+02,7.600000000000000000e+01,2.000000000000000000e+03,5.409381031990051270e+00
9.804000000000000625e+01,3.000000000000000000e+02,7.609999999999999432e+01,3.000000000000000000e+03,6.601711511611938477e+00
9.738666666666667027e+01,4.000000000000000000e+02,7.650000000000000000e+01,4.000000000000000000e+03,6.475543618202209473e+00
9.673333333333333428e+01,5.000000000000000000e+02,7.629999999999999716e+01,5.000000000000000000e+03,6.553341329097747803e+00
9.607999999999999829e+01,6.000000000000000000e+02,7.600000000000000000e+01,6.000000000000000000e+03,1.072129368782043457e+01
9.542666666666667652e+01,7.000000000000000000e+02,7.670000000000000284e+01,7.000000000000000000e+03,1.233790302276611328e+01
9.477333333333332632e+01,8.000000000000000000e+02,7.670000000000000284e+01,8.000000000000000000e+03,1.420678210258483887e+01
9.412000000000000455e+01,9.000000000000000000e+02,7.620000000000000284e+01,9.000000000000000000e+03,1.250167524814605713e+01
9.346666666666666856e+01,1.000000000000000000e+03,7.640000000000000568e+01,1.000000000000000000e+04,2.016817378997802734e+01
9.281333333333333258e+01,1.100000000000000000e+03,7.659999999999999432e+01,1.100000000000000000e+04,2.357194924354553223e+01
9.215999999999999659e+01,1.200000000000000000e+03,7.629999999999999716e+01,1.200000000000000000e+04,3.961367511749267578e+01
9.150666666666667481e+01,1.300000000000000000e+03,7.629999999999999716e+01,1.300000000000000000e+04,2.319794519990682602e+01
9.085333333333332462e+01,1.400000000000000000e+03,7.659999999999999432e+01,1.400000000000000000e+04,1.841652393341064453e+01
9.020000000000000284e+01,1.500000000000000000e+03,7.670000000000000284e+01,1.500000000000000000e+04,1.308585983514785767e+01
8.954666666666666686e+01,1.600000000000000000e+03,7.629999999999999716e+01,1.600000000000000000e+04,7.759574294090270996e+00
8.889333333333333087e+01,1.700000000000000000e+03,7.650000000000000000e+01,1.700000000000000000e+04,3.371606588363647461e+00
8.823999999999999488e+01,1.800000000000000000e+03,7.629999999999999716e+01,1.800000000000000000e+04,1.758476942777633667e+00
8.758666666666667311e+01,1.900000000000000000e+03,7.679999999999999716e+01,1.900000000000000000e+04,8.028953745961189270e-01
8.693333333333332291e+01,2.000000000000000000e+03,7.659999999999999432e+01,2.000000000000000000e+04,3.801301494240760803e-01
8.628000000000000114e+01,2.100000000000000000e+03,7.659999999999999432e+01,2.100000000000000000e+04,1.873862482607364655e-01
8.562666666666667936e+01,2.200000000000000000e+03,7.679999999999999716e+01,2.200000000000000000e+04,1.752500310540199280e-01
8.497333333333332916e+01,2.300000000000000000e+03,7.659999999999999432e+01,2.300000000000000000e+04,3.359442315995693207e-01
8.431999999999999318e+01,2.400000000000000000e+03,7.679999999999999716e+01,2.400000000000000000e+04,1.082664746791124344e-01
8.366666666666667140e+01,2.500000000000000000e+03,7.670000000000000284e+01,2.500000000000000000e+04,1.138607915490865707e-01
8.301333333333333542e+01,2.600000000000000000e+03,7.709999999999999432e+01,2.600000000000000000e+04,1.557537652552127838e-01
8.235999999999999943e+01,2.700000000000000000e+03,7.690000000000000568e+01,2.700000000000000000e+04,4.441744312644004822e-01
8.170666666666666345e+01,2.800000000000000000e+03,7.690000000000000568e+01,2.800000000000000000e+04,2.234937623143196106e-01
8.105333333333332746e+01,2.900000000000000000e+03,7.659999999999999432e+01,2.900000000000000000e+04,1.342160794883966446e-01
8.040000000000000568e+01,3.000000000000000000e+03,7.709999999999999432e+01,3.000000000000000000e+04,7.194780930876731873e-02
7.974666666666666970e+01,3.100000000000000000e+03,7.740000000000000568e+01,3.100000000000000000e+04,5.967323482036590576e-02
7.909333333333333371e+01,3.200000000000000000e+03,7.700000000000000000e+01,3.200000000000000000e+04,7.984198816120624542e-02
7.843999999999999773e+01,3.300000000000000000e+03,7.729999999999999716e+01,3.300000000000000000e+04,6.922377366572618484e-02
7.778666666666667595e+01,3.400000000000000000e+03,7.670000000000000284e+01,3.400000000000000000e+04,7.920979335904121399e-02
