# Exploration %,Episodes,Rewards,Timestep,Training Score
9.934666666666667822e+01,1.000000000000000000e+02,7.570000000000000284e+01,1.000000000000000000e+03,5.495250225067138672e+00
9.869333333333332803e+01,2.000000000000000000e+02,7.600000000000000000e+01,2.000000000000000000e+03,5.511072874069213867e+00
9.804000000000000625e+01,3.000000000000000000e+02,7.600000000000000000e+01,3.000000000000000000e+03,6.316819310188293457e+00
9.738666666666667027e+01,4.000000000000000000e+02,7.640000000000000568e+01,4.000000000000000000e+03,6.839526891708374023e+00
9.673333333333333428e+01,5.000000000000000000e+02,7.629999999999999716e+01,5.000000000000000000e+03,8.152123689651489258e+00
9.607999999999999829e+01,6.000000000000000000e+02,7.609999999999999432e+01,6.000000000000000000e+03,9.515964984893798828e+00
9.542666666666667652e+01,7.000000000000000000e+02,7.679999999999999716e+01,7.000000000000000000e+03,1.329776382446289062e+01
9.477333333333332632e+01,8.000000000000000000e+02,7.670000000000000284e+01,8.000000000000000000e+03,1.403995585441589355e+01
9.412000000000000455e+01,9.000000000000000000e+02,7.650000000000000000e+01,9.000000000000000000e+03,1.170249712467193604e+01
9.346666666666666856e+01,1.000000000000000000e+03,7.659999999999999432e+01,1.000000000000000000e+04,1.356231474876403809e+01
9.281333333333333258e+01,1.100000000000000000e+03,7.670000000000000284e+01,1.100000000000000000e+04,1.692283320426940918e+01
9.215999999999999659e+01,1.200000000000000000e+03,7.659999999999999432e+01,1.200000000000000000e+04,2.388074445724487305e+01
9.150666666666667481e+01,1.300000000000000000e+03,7.650000000000000000e+01,1.300000000000000000e+04,1.492931556701660156e+01
9.085333333333332462e+01,1.400000000000000000e+03,7.679999999999999716e+01,1.400000000000000000e+04,1.326020324230194092e+01
9.020000000000000284e+01,1.500000000000000000e+03,7.690000000000000568e+01,1.500000000000000000e+04,9.268667459487915039e+00
8.954666666666666686e+01,1.600000000000000000e+03,7.650000000000000000e+01,1.600000000000000000e+04,7.137568473815917969e+00
8.889333333333333087e+01,1.700000000000000000e+03,7.670000000000000284e+01,1.700000000000000000e+04,5.106594443321228027e+00
8.823999999999999488e+01,1.800000000000000000e+03,7.670000000000000284e+01,1.800000000000000000e+04,3.354710936546325684e+00
8.758666666666667311e+01,1.900000000000000000e+03,7.709999999999999432e+01,1.900000000000000000e+04,3.005508095026016235e+00
8.693333333333332291e+01,2.000000000000000000e+03,7.679999999999999716e+01,2.000000000000000000e+04,2.286164253950119019e+00
8.628000000000000114e+01,2.100000000000000000e+03,7.679999999999999716e+01,2.100000000000000000e+04,2.797314763069152832e+00
8.562666666666667936e+01,2.200000000000000000e+03,7.720000000000000284e+01,2.200000000000000000e+04,2.540237784385681152e+00
8.497333333333332916e+01,2.300000000000000000e+03,7.700000000000000000e+01,2.300000000000000000e+04,2.153081238269805908e+00
8.431999999999999318e+01,2.400000000000000000e+03,7.709999999999999432e+01,2.400000000000000000e+04,2.262019813060760498e+00
8.366666666666667140e+01,2.500000000000000000e+03,7.720000000000000284e+01,2.500000000000000000e+04,2.159473866224288940e+00
8.301333333333333542e+01,2.600000000000000000e+03,7.740000000000000568e+01,2.600000000000000000e+04,1.848700404167175293e+00
8.235999999999999943e+01,2.700000000000000000e+03,7.729999999999999716e+01,2.700000000000000000e+04,1.709007725119590759e+00
8.170666666666666345e+01,2.800000000000000000e+03,7.740000000000000568e+01,2.800000000000000000e+04,1.286174461245536804e+00
8.105333333333332746e+01,2.900000000000000000e+03,7.729999999999999716e+01,2.900000000000000000e+04,1.209259018301963806e+00
8.040000000000000568e+01,3.000000000000000000e+03,7.740000000000000568e+01,3.000000000000000000e+04,9.336468577384948730e-01
7.974666666666666970e+01,3.100000000000000000e+03,7.759999999999999432e+01,3.100000000000000000e+04,9.581896662712097168e-01
7.909333333333333371e+01,3.200000000000000000e+03,7.729999999999999716e+01,3.200000000000000000e+04,9.839399755001068115e-01
7.843999999999999773e+01,3.300000000000000000e+03,7.759999999999999432e+01,3.300000000000000000e+04,7.593247294425964355e-01
7.778666666666667595e+01,3.400000000000000000e+03,7.729999999999999716e+01,3.400000000000000000e+04,1.013209372758865356e+00
7.713333333333332575e+01,3.500000000000000000e+03,7.759999999999999432e+01,3.500000000000000000e+04,5.992107689380645752e-01
7.648000000000000398e+01,3.600000000000000000e+03,7.759999999999999432e+01,3.600000000000000000e+04,5.300325825810432434e-01
7.582666666666666799e+01,3.700000000000000000e+03,7.740000000000000568e+01,3.700000000000000000e+04,5.987341254949569702e-01
7.517333333333333201e+01,3.800000000000000000e+03,7.759999999999999432e+01,3.800000000000000000e+04,7.352694422006607056e-01
7.451999999999999602e+01,3.900000000000000000e+03,7.700000000000000000e+01,3.900000000000000000e+04,1.053220391273498535e+00
7.386666666666667425e+01,4.000000000000000000e+03,7.700000000000000000e+01,4.000000000000000000e+04,7.834866046905517578e-01
7.321333333333332405e+01,4.100000000000000000e+03,7.620000000000000284e+01,4.100000000000000000e+04,9.436904117465019226e-01
7.256000000000000227e+01,4.200000000000000000e+03,7.759999999999999432e+01,4.200000000000000000e+04,7.773884683847427368e-01
7.190666666666666629e+01,4.300000000000000000e+03,7.829999999999999716e+01,4.300000000000000000e+04,6.883466988801956177e-01
7.125333333333333030e+01,4.400000000000000000e+03,7.840000000000000568e+01,4.400000000000000000e+04,6.889580041170120239e-01
7.059999999999999432e+01,4.500000000000000000e+03,7.809999999999999432e+01,4.500000000000000000e+04,6.469265967607498169e-01
6.994666666666667254e+01,4.600000000000000000e+03,7.800000000000000000e+01,4.600000000000000000e+04,5.468641221523284912e-01
6.929333333333333655e+01,4.700000000000000000e+03,7.840000000000000568e+01,4.700000000000000000e+04,6.351632103323936462e-01
6.864000000000000057e+01,4.800000000000000000e+03,7.790000000000000568e+01,4.800000000000000000e+04,5.043210312724113464e-01
6.798666666666666458e+01,4.900000000000000000e+03,7.690000000000000568e+01,4.900000000000000000e+04,4.536809697747230530e-01
6.733333333333332860e+01,5.000000000000000000e+03,7.600000000000000000e+01,5.000000000000000000e+04,6.538527309894561768e-01
6.668000000000000682e+01,5.100000000000000000e+03,7.629999999999999716e+01,5.100000000000000000e+04,8.988329023122787476e-01
6.602666666666667084e+01,5.200000000000000000e+03,7.690000000000000568e+01,5.200000000000000000e+04,5.350183248519897461e-01
6.537333333333333485e+01,5.300000000000000000e+03,7.650000000000000000e+01,5.300000000000000000e+04,5.117386914789676666e-01
6.471999999999999886e+01,5.400000000000000000e+03,7.659999999999999432e+01,5.400000000000000000e+04,5.447802692651748657e-01
6.406666666666667709e+01,5.500000000000000000e+03,7.629999999999999716e+01,5.500000000000000000e+04,7.279104068875312805e-01
6.341333333333333400e+01,5.600000000000000000e+03,7.620000000000000284e+01,5.600000000000000000e+04,6.969128847122192383e-01
6.275999999999999091e+01,5.700000000000000000e+03,7.609999999999999432e+01,5.700000000000000000e+04,7.926060557365417480e-01
6.210666666666666913e+01,5.800000000000000000e+03,7.609999999999999432e+01,5.800000000000000000e+04,5.516327470541000366e-01
6.145333333333334025e+01,5.900000000000000000e+03,7.559999999999999432e+01,5.900000000000000000e+04,6.260768026113510132e-01
6.079999999999999716e+01,6.000000000000000000e+03,7.559999999999999432e+01,6.000000000000000000e+04,7.761088609695434570e-01
6.014666666666666117e+01,6.100000000000000000e+03,7.650000000000000000e+01,6.100000000000000000e+04,4.432689547538757324e-01
5.949333333333333229e+01,6.200000000000000000e+03,7.700000000000000000e+01,6.200000000000000000e+04,4.557584598660469055e-01
5.884000000000000341e+01,6.300000000000000000e+03,7.750000000000000000e+01,6.300000000000000000e+04,5.709102526307106018e-01
5.818666666666666742e+01,6.400000000000000000e+03,7.740000000000000568e+01,6.400000000000000000e+04,5.571548491716384888e-01
5.753333333333332433e+01,6.500000000000000000e+03,7.729999999999999716e+01,6.500000000000000000e+04,7.365902811288833618e-01
5.687999999999999545e+01,6.600000000000000000e+03,7.720000000000000284e+01,6.600000000000000000e+04,4.264147579669952393e-01
5.622666666666666657e+01,6.700000000000000000e+03,7.770000000000000284e+01,6.700000000000000000e+04,6.619540229439735413e-01
5.557333333333333769e+01,6.800000000000000000e+03,7.679999999999999716e+01,6.800000000000000000e+04,5.122601315379142761e-01
5.491999999999998749e+01,6.900000000000000000e+03,7.609999999999999432e+01,6.900000000000000000e+04,5.272459834814071655e-01
5.426666666666666572e+01,7.000000000000000000e+03,7.640000000000000568e+01,7.000000000000000000e+04,7.176836952567100525e-01
5.361333333333333684e+01,7.100000000000000000e+03,7.609999999999999432e+01,7.100000000000000000e+04,5.861144810914993286e-01
5.296000000000000796e+01,7.200000000000000000e+03,7.629999999999999716e+01,7.200000000000000000e+04,6.310315579175949097e-01
5.230666666666665776e+01,7.300000000000000000e+03,7.720000000000000284e+01,7.300000000000000000e+04,4.064451158046722412e-01
5.165333333333332888e+01,7.400000000000000000e+03,7.850000000000000000e+01,7.400000000000000000e+04,3.179629556834697723e-01
5.100000000000000000e+01,7.500000000000000000e+03,7.859999999999999432e+01,7.500000000000000000e+04,2.972981929779052734e-01
5.034666666666666401e+01,7.600000000000000000e+03,7.940000000000000568e+01,7.600000000000000000e+04,2.227026708424091339e-01
4.969333333333333513e+01,7.700000000000000000e+03,7.929999999999999716e+01,7.700000000000000000e+04,1.991622969508171082e-01
4.903999999999999204e+01,7.800000000000000000e+03,7.950000000000000000e+01,7.800000000000000000e+04,2.038224935531616211e-01
4.838666666666667737e+01,7.900000000000000000e+03,7.940000000000000568e+01,7.900000000000000000e+04,2.448956705629825592e-01
4.773333333333334139e+01,8.000000000000000000e+03,7.929999999999999716e+01,8.000000000000000000e+04,1.657880879938602448e-01
4.707999999999999829e+01,8.100000000000000000e+03,7.959999999999999432e+01,8.100000000000000000e+04,2.305619940161705017e-01
4.642666666666666941e+01,8.200000000000000000e+03,7.970000000000000284e+01,8.200000000000000000e+04,1.943162493407726288e-01
4.577333333333333343e+01,8.300000000000000000e+03,7.950000000000000000e+01,8.300000000000000000e+04,1.932340413331985474e-01
4.511999999999999034e+01,8.400000000000000000e+03,7.950000000000000000e+01,8.400000000000000000e+04,2.082181200385093689e-01
4.446666666666666856e+01,8.500000000000000000e+03,7.929999999999999716e+01,8.500000000000000000e+04,2.850416004657745361e-01
4.381333333333332547e+01,8.600000000000000000e+03,7.940000000000000568e+01,8.600000000000000000e+04,1.763132028281688690e-01
4.316000000000001080e+01,8.700000000000000000e+03,7.900000000000000000e+01,8.700000000000000000e+04,1.753516346216201782e-01
4.250666666666666771e+01,8.800000000000000000e+03,7.940000000000000568e+01,8.800000000000000000e+04,2.807370722293853760e-01
4.185333333333333172e+01,8.900000000000000000e+03,7.920000000000000284e+01,8.900000000000000000e+04,2.368380948901176453e-01
4.120000000000000284e+01,9.000000000000000000e+03,7.900000000000000000e+01,9.000000000000000000e+04,2.249602526426315308e-01
4.054666666666666686e+01,9.100000000000000000e+03,7.879999999999999716e+01,9.100000000000000000e+04,2.146549448370933533e-01
3.989333333333333798e+01,9.200000000000000000e+03,7.940000000000000568e+01,9.200000000000000000e+04,2.188699394464492798e-01
3.923999999999999488e+01,9.300000000000000000e+03,7.950000000000000000e+01,9.300000000000000000e+04,1.704704798758029938e-01
3.858666666666666600e+01,9.400000000000000000e+03,7.990000000000000568e+01,9.400000000000000000e+04,1.916268952190876007e-01
3.793333333333334423e+01,9.500000000000000000e+03,7.970000000000000284e+01,9.500000000000000000e+04,1.875001844018697739e-01
3.728000000000000114e+01,9.600000000000000000e+03,7.990000000000000568e+01,9.600000000000000000e+04,1.743040420114994049e-01
3.662666666666667226e+01,9.700000000000000000e+03,7.959999999999999432e+01,9.700000000000000000e+04,1.927928365767002106e-01
3.597333333333333627e+01,9.800000000000000000e+03,8.009999999999999432e+01,9.800000000000000000e+04,9.804352931678295135e-02
3.531999999999999318e+01,9.900000000000000000e+03,8.000000000000000000e+01,9.900000000000000000e+04,1.674210429191589355e-01
3.466666666666667140e+01,1.000000000000000000e+04,7.950000000000000000e+01,1.000000000000000000e+05,1.410464458167552948e-01
3.401333333333332831e+01,1.010000000000000000e+04,7.879999999999999716e+01,1.010000000000000000e+05,1.758634541183710098e-01
3.335999999999999943e+01,1.020000000000000000e+04,7.809999999999999432e+01,1.020000000000000000e+05,1.632304564118385315e-01
3.270666666666667055e+01,1.030000000000000000e+04,7.809999999999999432e+01,1.030000000000000000e+05,1.856088265776634216e-01
3.205333333333333456e+01,1.040000000000000000e+04,7.750000000000000000e+01,1.040000000000000000e+05,1.992499381303787231e-01
3.140000000000000568e+01,1.050000000000000000e+04,7.959999999999999432e+01,1.050000000000000000e+05,1.855346448719501495e-01
3.074666666666666615e+01,1.060000000000000000e+04,7.929999999999999716e+01,1.060000000000000000e+05,1.797472313046455383e-01
3.009333333333332661e+01,1.070000000000000000e+04,7.970000000000000284e+01,1.070000000000000000e+05,1.425376608967781067e-01
2.943999999999999773e+01,1.080000000000000000e+04,7.970000000000000284e+01,1.080000000000000000e+05,1.012996360659599304e-01
2.878666666666667240e+01,1.090000000000000000e+04,8.000000000000000000e+01,1.090000000000000000e+05,1.540469937026500702e-01
2.813333333333334352e+01,1.100000000000000000e+04,7.990000000000000568e+01,1.100000000000000000e+05,1.084013227373361588e-01
2.748000000000000398e+01,1.110000000000000000e+04,7.970000000000000284e+01,1.110000000000000000e+05,1.545234695076942444e-01
2.682666666666666444e+01,1.120000000000000000e+04,8.000000000000000000e+01,1.120000000000000000e+05,1.299138329923152924e-01
2.617333333333333911e+01,1.130000000000000000e+04,7.979999999999999716e+01,1.130000000000000000e+05,1.151469182223081589e-01
