# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,-2.100000000000000000e+01,9.673333333333333428e+01,1.002589333802461624e-02
1.000000000000000000e+04,-2.100000000000000000e+01,9.346666666666666856e+01,1.494082715362310410e-02
1.500000000000000000e+04,-2.100000000000000000e+01,9.020000000000000284e+01,5.177901126444339752e-03
2.000000000000000000e+04,-2.100000000000000000e+01,8.693333333333332291e+01,1.487057562917470932e-02
2.500000000000000000e+04,-2.100000000000000000e+01,8.366666666666667140e+01,2.556913346052169800e-02
3.000000000000000000e+04,-2.100000000000000000e+01,8.040000000000000568e+01,9.727439843118190765e-03
3.500000000000000000e+04,-2.100000000000000000e+01,7.713333333333332575e+01,4.975769668817520142e-03
4.000000000000000000e+04,-2.100000000000000000e+01,7.386666666666667425e+01,1.492847688496112823e-02
4.500000000000000000e+04,-2.100000000000000000e+01,7.059999999999999432e+01,4.966058302670717239e-03
5.000000000000000000e+04,-2.100000000000000000e+01,6.733333333333332860e+01,4.965877626091241837e-03
5.500000000000000000e+04,-2.100000000000000000e+01,6.406666666666667709e+01,2.345482073724269867e-02
6.000000000000000000e+04,-2.100000000000000000e+01,6.079999999999999716e+01,5.742691457271575928e-03
6.500000000000000000e+04,-2.100000000000000000e+01,5.753333333333332433e+01,2.562614902853965759e-02
7.000000000000000000e+04,-2.100000000000000000e+01,5.426666666666666572e+01,1.479091681540012360e-02
7.500000000000000000e+04,-2.100000000000000000e+01,5.100000000000000000e+01,1.110605802386999130e-02
8.000000000000000000e+04,-2.100000000000000000e+01,4.773333333333334139e+01,2.279932796955108643e-02
8.500000000000000000e+04,-2.100000000000000000e+01,4.446666666666666856e+01,1.461811177432537079e-02
9.000000000000000000e+04,-2.100000000000000000e+01,4.120000000000000284e+01,2.050950750708580017e-02
9.500000000000000000e+04,-2.100000000000000000e+01,3.793333333333334423e+01,1.151685230433940887e-02
1.000000000000000000e+05,-2.100000000000000000e+01,3.466666666666667140e+01,5.029651802033185959e-03
1.050000000000000000e+05,-2.100000000000000000e+01,3.140000000000000568e+01,1.009130012243986130e-02
1.100000000000000000e+05,-2.100000000000000000e+01,2.813333333333334352e+01,9.059556759893894196e-03
1.150000000000000000e+05,-2.100000000000000000e+01,2.486666666666666003e+01,2.311718463897705078e-02
1.200000000000000000e+05,-2.100000000000000000e+01,2.159999999999999787e+01,1.083888858556747437e-02
1.250000000000000000e+05,-2.100000000000000000e+01,1.833333333333333570e+01,5.205397494137287140e-03
1.300000000000000000e+05,-2.100000000000000000e+01,1.506666666666666110e+01,5.114051513373851776e-03
1.350000000000000000e+05,-2.100000000000000000e+01,1.179999999999999893e+01,8.911355398595333099e-03
1.400000000000000000e+05,-2.100000000000000000e+01,8.533333333333336768e+00,9.464128874242305756e-03
1.450000000000000000e+05,-2.100000000000000000e+01,5.266666666666663943e+00,2.045634761452674866e-02
1.500000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,9.832985699176788330e-03
1.550000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,2.789916656911373138e-02
1.600000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.898862048983573914e-02
1.650000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,4.633480857592076063e-04
1.700000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.035844534635543823e-02
1.750000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.034123543649911880e-02
1.800000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.472635194659233093e-02
1.850000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,5.476661026477813721e-03
1.900000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,5.593360401690006256e-03
1.950000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,5.584080703556537628e-03
2.000000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,9.841000661253929138e-03
2.050000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.046841405332088470e-02
2.100000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,5.684488452970981598e-03
2.150000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.019002310931682587e-02
2.200000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,9.679340757429599762e-03
2.250000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,9.679473936557769775e-03
2.300000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,2.321708761155605316e-02
2.350000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.405572891235351562e-02
2.400000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,5.266020307317376137e-04
2.450000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,9.736575186252593994e-03
2.500000000000000000e+05,-2.100000000000000000e+01,2.000000000000001776e+00,1.434631645679473877e-02
