# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,5.793750000000000000e+01,9.673333333333333428e+01,2.258874475955963135e-01
1.000000000000000000e+04,3.980208333333333570e+01,9.346666666666666856e+01,1.986029893159866333e-01
1.500000000000000000e+04,9.416666666666666075e+00,9.020000000000000284e+01,2.755437195301055908e-01
2.000000000000000000e+04,9.239583333333333925e+00,8.693333333333332291e+01,3.799788951873779297e-01
2.500000000000000000e+04,9.562500000000000000e+00,8.366666666666667140e+01,6.929883956909179688e-01
3.000000000000000000e+04,9.510416666666666075e+00,8.040000000000000568e+01,2.016449451446533203e+00
3.500000000000000000e+04,9.468750000000000000e+00,7.713333333333332575e+01,4.257693290710449219e+00
4.000000000000000000e+04,9.333333333333333925e+00,7.386666666666667425e+01,1.104887008666992188e+01
4.500000000000000000e+04,9.156250000000000000e+00,7.059999999999999432e+01,1.155305480957031250e+01
5.000000000000000000e+04,9.354166666666666075e+00,6.733333333333332860e+01,1.748731422424316406e+01
5.500000000000000000e+04,9.322916666666666075e+00,6.406666666666667709e+01,3.509221649169921875e+01
6.000000000000000000e+04,9.312500000000000000e+00,6.079999999999999716e+01,5.868930816650390625e+01
6.500000000000000000e+04,9.291666666666666075e+00,5.753333333333332433e+01,7.555047607421875000e+01
7.000000000000000000e+04,9.166666666666666075e+00,5.426666666666666572e+01,1.122484130859375000e+02
7.500000000000000000e+04,9.416666666666666075e+00,5.100000000000000000e+01,1.304876403808593750e+02
8.000000000000000000e+04,9.500000000000000000e+00,4.773333333333334139e+01,2.081930236816406250e+02
8.500000000000000000e+04,9.552083333333333925e+00,4.446666666666666856e+01,2.880076904296875000e+02
9.000000000000000000e+04,9.333333333333333925e+00,4.120000000000000284e+01,2.780194396972656250e+02
9.500000000000000000e+04,9.343750000000000000e+00,3.793333333333334423e+01,3.555233764648437500e+02
1.000000000000000000e+05,9.479166666666666075e+00,3.466666666666667140e+01,5.363924560546875000e+02
1.050000000000000000e+05,9.645833333333333925e+00,3.140000000000000568e+01,8.218077392578125000e+02
1.100000000000000000e+05,9.385416666666666075e+00,2.813333333333334352e+01,1.061556884765625000e+03
1.150000000000000000e+05,9.302083333333333925e+00,2.486666666666666003e+01,1.033233154296875000e+03
1.200000000000000000e+05,9.375000000000000000e+00,2.159999999999999787e+01,1.147126220703125000e+03
1.250000000000000000e+05,9.385416666666666075e+00,1.833333333333333570e+01,1.407972412109375000e+03
1.300000000000000000e+05,9.447916666666666075e+00,1.506666666666666110e+01,2.161387207031250000e+03
1.350000000000000000e+05,9.458333333333333925e+00,1.179999999999999893e+01,1.817394409179687500e+03
1.400000000000000000e+05,9.333333333333333925e+00,8.533333333333336768e+00,3.453040527343750000e+03
1.450000000000000000e+05,9.354166666666666075e+00,5.266666666666663943e+00,3.141324951171875000e+03
1.500000000000000000e+05,9.645833333333333925e+00,2.000000000000001776e+00,4.411944335937500000e+03
1.550000000000000000e+05,9.437500000000000000e+00,2.000000000000001776e+00,2.842634277343750000e+03
1.600000000000000000e+05,9.406250000000000000e+00,2.000000000000001776e+00,4.782729492187500000e+03
1.650000000000000000e+05,9.083333333333333925e+00,2.000000000000001776e+00,4.139536621093750000e+03
1.700000000000000000e+05,9.395833333333333925e+00,2.000000000000001776e+00,4.392807617187500000e+03
1.750000000000000000e+05,9.395833333333333925e+00,2.000000000000001776e+00,4.679835449218750000e+03
1.800000000000000000e+05,9.427083333333333925e+00,2.000000000000001776e+00,4.947674316406250000e+03
1.850000000000000000e+05,9.562500000000000000e+00,2.000000000000001776e+00,7.060392578125000000e+03
1.900000000000000000e+05,9.416666666666666075e+00,2.000000000000001776e+00,6.150791992187500000e+03
1.950000000000000000e+05,9.385416666666666075e+00,2.000000000000001776e+00,7.949784179687500000e+03
2.000000000000000000e+05,9.510416666666666075e+00,2.000000000000001776e+00,7.263159179687500000e+03
2.050000000000000000e+05,9.489583333333333925e+00,2.000000000000001776e+00,9.323451171875000000e+03
2.100000000000000000e+05,9.302083333333333925e+00,2.000000000000001776e+00,1.006077734375000000e+04
2.150000000000000000e+05,9.239583333333333925e+00,2.000000000000001776e+00,8.942115234375000000e+03
2.200000000000000000e+05,9.302083333333333925e+00,2.000000000000001776e+00,1.033078320312500000e+04
2.250000000000000000e+05,9.468750000000000000e+00,2.000000000000001776e+00,1.296026660156250000e+04
2.300000000000000000e+05,9.343750000000000000e+00,2.000000000000001776e+00,1.281743066406250000e+04
2.350000000000000000e+05,9.500000000000000000e+00,2.000000000000001776e+00,1.472870703125000000e+04
2.400000000000000000e+05,9.145833333333333925e+00,2.000000000000001776e+00,1.737738867187500000e+04
2.450000000000000000e+05,9.250000000000000000e+00,2.000000000000001776e+00,1.556784082031250000e+04
2.500000000000000000e+05,9.385416666666666075e+00,2.000000000000001776e+00,1.680429687500000000e+04
