# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,1.027083333333333393e+01,9.673333333333333428e+01,2.087748050689697266e-01
1.000000000000000000e+04,9.447916666666666075e+00,9.346666666666666856e+01,1.854629218578338623e-01
1.500000000000000000e+04,9.583333333333333925e+00,9.020000000000000284e+01,3.972966074943542480e-01
2.000000000000000000e+04,9.333333333333333925e+00,8.693333333333332291e+01,5.890032052993774414e-01
2.500000000000000000e+04,9.354166666666666075e+00,8.366666666666667140e+01,9.737563133239746094e-01
3.000000000000000000e+04,9.375000000000000000e+00,8.040000000000000568e+01,1.630844354629516602e+00
3.500000000000000000e+04,9.531250000000000000e+00,7.713333333333332575e+01,3.847324371337890625e+00
4.000000000000000000e+04,9.354166666666666075e+00,7.386666666666667425e+01,7.330931663513183594e+00
4.500000000000000000e+04,9.364583333333333925e+00,7.059999999999999432e+01,1.102034091949462891e+01
5.000000000000000000e+04,9.479166666666666075e+00,6.733333333333332860e+01,3.456581115722656250e+01
5.500000000000000000e+04,9.333333333333333925e+00,6.406666666666667709e+01,3.674600601196289062e+01
6.000000000000000000e+04,9.583333333333333925e+00,6.079999999999999716e+01,9.018737030029296875e+01
6.500000000000000000e+04,9.458333333333333925e+00,5.753333333333332433e+01,9.178363037109375000e+01
7.000000000000000000e+04,9.281250000000000000e+00,5.426666666666666572e+01,1.509620361328125000e+02
7.500000000000000000e+04,9.562500000000000000e+00,5.100000000000000000e+01,2.266930236816406250e+02
8.000000000000000000e+04,9.218750000000000000e+00,4.773333333333334139e+01,2.724027709960937500e+02
8.500000000000000000e+04,9.541666666666666075e+00,4.446666666666666856e+01,3.075969238281250000e+02
9.000000000000000000e+04,9.333333333333333925e+00,4.120000000000000284e+01,4.623215026855468750e+02
9.500000000000000000e+04,9.447916666666666075e+00,3.793333333333334423e+01,5.573056030273437500e+02
1.000000000000000000e+05,9.718750000000000000e+00,3.466666666666667140e+01,7.832258911132812500e+02
1.050000000000000000e+05,9.364583333333333925e+00,3.140000000000000568e+01,6.279975585937500000e+02
1.100000000000000000e+05,9.229166666666666075e+00,2.813333333333334352e+01,9.075545043945312500e+02
1.150000000000000000e+05,9.177083333333333925e+00,2.486666666666666003e+01,1.201159912109375000e+03
1.200000000000000000e+05,9.395833333333333925e+00,2.159999999999999787e+01,1.646362915039062500e+03
1.250000000000000000e+05,9.406250000000000000e+00,1.833333333333333570e+01,1.390656372070312500e+03
1.300000000000000000e+05,9.260416666666666075e+00,1.506666666666666110e+01,2.020247558593750000e+03
1.350000000000000000e+05,9.458333333333333925e+00,1.179999999999999893e+01,2.167048583984375000e+03
1.400000000000000000e+05,9.395833333333333925e+00,8.533333333333336768e+00,2.596053222656250000e+03
1.450000000000000000e+05,9.479166666666666075e+00,5.266666666666663943e+00,3.387835693359375000e+03
1.500000000000000000e+05,9.718750000000000000e+00,2.000000000000001776e+00,2.983200439453125000e+03
1.550000000000000000e+05,9.135416666666666075e+00,2.000000000000001776e+00,3.757174316406250000e+03
1.600000000000000000e+05,9.270833333333333925e+00,2.000000000000001776e+00,4.549712890625000000e+03
1.650000000000000000e+05,9.364583333333333925e+00,2.000000000000001776e+00,3.799971923828125000e+03
1.700000000000000000e+05,9.552083333333333925e+00,2.000000000000001776e+00,4.191610351562500000e+03
1.750000000000000000e+05,9.343750000000000000e+00,2.000000000000001776e+00,5.291589843750000000e+03
1.800000000000000000e+05,9.479166666666666075e+00,2.000000000000001776e+00,5.651713867187500000e+03
1.850000000000000000e+05,9.510416666666666075e+00,2.000000000000001776e+00,7.832267089843750000e+03
1.900000000000000000e+05,9.500000000000000000e+00,2.000000000000001776e+00,7.731238281250000000e+03
1.950000000000000000e+05,9.385416666666666075e+00,2.000000000000001776e+00,6.672958496093750000e+03
2.000000000000000000e+05,9.270833333333333925e+00,2.000000000000001776e+00,5.373680175781250000e+03
2.050000000000000000e+05,9.531250000000000000e+00,2.000000000000001776e+00,9.325419921875000000e+03
2.100000000000000000e+05,9.427083333333333925e+00,2.000000000000001776e+00,7.852172851562500000e+03
2.150000000000000000e+05,9.302083333333333925e+00,2.000000000000001776e+00,9.875661132812500000e+03
2.200000000000000000e+05,9.395833333333333925e+00,2.000000000000001776e+00,1.211224511718750000e+04
2.250000000000000000e+05,9.541666666666666075e+00,2.000000000000001776e+00,1.057874316406250000e+04
2.300000000000000000e+05,9.552083333333333925e+00,2.000000000000001776e+00,1.047174804687500000e+04
2.350000000000000000e+05,9.187500000000000000e+00,2.000000000000001776e+00,1.524162304687500000e+04
2.400000000000000000e+05,9.541666666666666075e+00,2.000000000000001776e+00,1.468585253906250000e+04
2.450000000000000000e+05,9.562500000000000000e+00,2.000000000000001776e+00,1.357860546875000000e+04
2.500000000000000000e+05,9.520833333333333925e+00,2.000000000000001776e+00,1.210583593750000000e+04
