# Timestep,Rewards,Exploration %,Training Score
5.000000000000000000e+03,9.427083333333333925e+00,9.673333333333333428e+01,2.376828193664550781e-01
1.000000000000000000e+04,9.510416666666666075e+00,9.346666666666666856e+01,2.146718055009841919e-01
1.500000000000000000e+04,9.500000000000000000e+00,9.020000000000000284e+01,5.469539165496826172e-01
2.000000000000000000e+04,9.552083333333333925e+00,8.693333333333332291e+01,5.915241837501525879e-01
2.500000000000000000e+04,9.468750000000000000e+00,8.366666666666667140e+01,1.248607277870178223e+00
3.000000000000000000e+04,8.979166666666666075e+00,8.040000000000000568e+01,3.062279939651489258e+00
3.500000000000000000e+04,9.145833333333333925e+00,7.713333333333332575e+01,5.396169662475585938e+00
4.000000000000000000e+04,9.364583333333333925e+00,7.386666666666667425e+01,1.906842803955078125e+01
4.500000000000000000e+04,9.166666666666666075e+00,7.059999999999999432e+01,2.730243682861328125e+01
5.000000000000000000e+04,9.322916666666666075e+00,6.733333333333332860e+01,4.793601608276367188e+01
5.500000000000000000e+04,9.395833333333333925e+00,6.406666666666667709e+01,4.914483261108398438e+01
6.000000000000000000e+04,9.270833333333333925e+00,6.079999999999999716e+01,1.099821624755859375e+02
6.500000000000000000e+04,9.625000000000000000e+00,5.753333333333332433e+01,1.381189270019531250e+02
7.000000000000000000e+04,9.375000000000000000e+00,5.426666666666666572e+01,1.895927429199218750e+02
7.500000000000000000e+04,9.291666666666666075e+00,5.100000000000000000e+01,3.069218750000000000e+02
8.000000000000000000e+04,9.500000000000000000e+00,4.773333333333334139e+01,3.752047119140625000e+02
8.500000000000000000e+04,9.291666666666666075e+00,4.446666666666666856e+01,3.418591918945312500e+02
9.000000000000000000e+04,9.270833333333333925e+00,4.120000000000000284e+01,7.233203125000000000e+02
9.500000000000000000e+04,9.395833333333333925e+00,3.793333333333334423e+01,8.446058349609375000e+02
1.000000000000000000e+05,9.208333333333333925e+00,3.466666666666667140e+01,1.124626098632812500e+03
1.050000000000000000e+05,9.458333333333333925e+00,3.140000000000000568e+01,1.072809082031250000e+03
1.100000000000000000e+05,9.281250000000000000e+00,2.813333333333334352e+01,1.269447021484375000e+03
1.150000000000000000e+05,9.531250000000000000e+00,2.486666666666666003e+01,1.570827880859375000e+03
1.200000000000000000e+05,9.489583333333333925e+00,2.159999999999999787e+01,1.693298828125000000e+03
1.250000000000000000e+05,9.302083333333333925e+00,1.833333333333333570e+01,1.807396118164062500e+03
1.300000000000000000e+05,9.416666666666666075e+00,1.506666666666666110e+01,2.464361328125000000e+03
1.350000000000000000e+05,9.520833333333333925e+00,1.179999999999999893e+01,3.248163085937500000e+03
1.400000000000000000e+05,9.458333333333333925e+00,8.533333333333336768e+00,3.366513916015625000e+03
1.450000000000000000e+05,9.250000000000000000e+00,5.266666666666663943e+00,4.079947998046875000e+03
1.500000000000000000e+05,9.041666666666666075e+00,2.000000000000001776e+00,3.794267578125000000e+03
1.550000000000000000e+05,9.302083333333333925e+00,2.000000000000001776e+00,5.858238281250000000e+03
1.600000000000000000e+05,9.333333333333333925e+00,2.000000000000001776e+00,4.886399414062500000e+03
1.650000000000000000e+05,9.458333333333333925e+00,2.000000000000001776e+00,5.688214355468750000e+03
1.700000000000000000e+05,9.354166666666666075e+00,2.000000000000001776e+00,5.692989746093750000e+03
1.750000000000000000e+05,9.239583333333333925e+00,2.000000000000001776e+00,5.817871093750000000e+03
1.800000000000000000e+05,9.437500000000000000e+00,2.000000000000001776e+00,9.008296875000000000e+03
1.850000000000000000e+05,9.468750000000000000e+00,2.000000000000001776e+00,9.546737304687500000e+03
1.900000000000000000e+05,9.458333333333333925e+00,2.000000000000001776e+00,7.541711914062500000e+03
1.950000000000000000e+05,9.177083333333333925e+00,2.000000000000001776e+00,1.037042480468750000e+04
2.000000000000000000e+05,9.156250000000000000e+00,2.000000000000001776e+00,9.573722656250000000e+03
2.050000000000000000e+05,9.395833333333333925e+00,2.000000000000001776e+00,1.173640234375000000e+04
2.100000000000000000e+05,9.302083333333333925e+00,2.000000000000001776e+00,1.229613378906250000e+04
2.150000000000000000e+05,9.614583333333333925e+00,2.000000000000001776e+00,1.144652148437500000e+04
2.200000000000000000e+05,9.322916666666666075e+00,2.000000000000001776e+00,1.384951953125000000e+04
2.250000000000000000e+05,9.270833333333333925e+00,2.000000000000001776e+00,1.008150683593750000e+04
2.300000000000000000e+05,9.666666666666666075e+00,2.000000000000001776e+00,1.557305273437500000e+04
2.350000000000000000e+05,9.395833333333333925e+00,2.000000000000001776e+00,1.280054101562500000e+04
2.400000000000000000e+05,9.583333333333333925e+00,2.000000000000001776e+00,1.742655078125000000e+04
2.450000000000000000e+05,9.395833333333333925e+00,2.000000000000001776e+00,1.907134765625000000e+04
2.500000000000000000e+05,9.625000000000000000e+00,2.000000000000001776e+00,1.233113867187500000e+04
