# Exploration %,Episodes,Rewards,Timestep,Training Score
9.934666666666667822e+01,3.200000000000000000e+01,2.030000000000000071e+01,1.000000000000000000e+03,1.657876223325729370e-01
9.869333333333332803e+01,6.400000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+03,2.038092333823442459e-01
9.804000000000000625e+01,8.000000000000000000e+01,2.150000000000000000e+01,3.000000000000000000e+03,3.733532726764678955e-01
9.738666666666667027e+01,1.040000000000000000e+02,2.089999999999999858e+01,4.000000000000000000e+03,6.521784663200378418e-01
9.673333333333333428e+01,1.200000000000000000e+02,2.160000000000000142e+01,5.000000000000000000e+03,8.556891903281211853e-01
9.607999999999999829e+01,1.440000000000000000e+02,2.239999999999999858e+01,6.000000000000000000e+03,1.070653155446052551e+00
9.542666666666667652e+01,1.680000000000000000e+02,2.189999999999999858e+01,7.000000000000000000e+03,6.518297865986824036e-01
9.477333333333332632e+01,1.920000000000000000e+02,2.180000000000000071e+01,8.000000000000000000e+03,1.182322666049003601e+00
9.412000000000000455e+01,2.160000000000000000e+02,2.119999999999999929e+01,9.000000000000000000e+03,7.727997377514839172e-01
9.346666666666666856e+01,2.480000000000000000e+02,2.050000000000000000e+01,1.000000000000000000e+04,3.311648741364479065e-01
9.281333333333333258e+01,2.720000000000000000e+02,2.119999999999999929e+01,1.100000000000000000e+04,9.425607919692993164e-01
9.215999999999999659e+01,2.960000000000000000e+02,2.150000000000000000e+01,1.200000000000000000e+04,1.206915207207202911e+00
9.150666666666667481e+01,3.200000000000000000e+02,2.289999999999999858e+01,1.300000000000000000e+04,5.831247009336948395e-01
9.085333333333332462e+01,3.440000000000000000e+02,2.319999999999999929e+01,1.400000000000000000e+04,7.997693419456481934e-01
9.020000000000000284e+01,3.680000000000000000e+02,2.380000000000000071e+01,1.500000000000000000e+04,1.337646402418613434e+00
8.954666666666666686e+01,3.840000000000000000e+02,2.439999999999999858e+01,1.600000000000000000e+04,1.402658797800540924e+00
8.889333333333333087e+01,4.000000000000000000e+02,2.519999999999999929e+01,1.700000000000000000e+04,1.024374835193157196e+00
8.823999999999999488e+01,4.240000000000000000e+02,2.439999999999999858e+01,1.800000000000000000e+04,4.978139847517013550e-01
8.758666666666667311e+01,4.480000000000000000e+02,2.450000000000000000e+01,1.900000000000000000e+04,6.748556345701217651e-01
8.693333333333332291e+01,4.720000000000000000e+02,2.319999999999999929e+01,2.000000000000000000e+04,9.337804019451141357e-01
8.628000000000000114e+01,4.880000000000000000e+02,2.560000000000000142e+01,2.100000000000000000e+04,9.651631191372871399e-01
8.562666666666667936e+01,5.120000000000000000e+02,2.519999999999999929e+01,2.200000000000000000e+04,9.817323945462703705e-01
8.497333333333332916e+01,5.280000000000000000e+02,2.639999999999999858e+01,2.300000000000000000e+04,9.442013427615165710e-01
8.431999999999999318e+01,5.440000000000000000e+02,2.810000000000000142e+01,2.400000000000000000e+04,6.534476131200790405e-01
8.366666666666667140e+01,5.520000000000000000e+02,2.930000000000000071e+01,2.500000000000000000e+04,5.206356719136238098e-01
8.301333333333333542e+01,5.600000000000000000e+02,3.110000000000000142e+01,2.600000000000000000e+04,6.537823304533958435e-01
